categoria_completa,categoria,nivel_1,nivel_2,nivel_3,nivel_4,categoria_real,quantidade,link
Acessórios para Veículos / Serviços Programados / Tren Dianteiro / Troca de Amortecedores / Troca Amortecedores,Acessórios para Veículos > Serviços Programados > Tren Dianteiro > Troca de Amortecedores,Acessórios para Veículos,Serviços Programados,Tren Dianteiro,Troca de Amortecedores,Troca Amortecedores,0,https://lista.mercadolivre.com.br/acessorios-veiculos/servicos-programados/tren-dianteiro/troca-amortecedores/
Acessórios para Veículos / Serviços Programados / Tren Dianteiro / Troca Buchas Cacoletas,Acessórios para Veículos > Serviços Programados > Tren Dianteiro,Acessórios para Veículos,Serviços Programados,Tren Dianteiro,,Troca Buchas Cacoletas,1,https://lista.mercadolivre.com.br/acessorios-veiculos/servicos-programados/tren-dianteiro/troca-buchas-cacoletas/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Serviços Programados / Tren Dianteiro / Troca de Espirais / Troca Espirais,Acessórios para Veículos > Serviços Programados > Tren Dianteiro > Troca de Espirais,Acessórios para Veículos,Serviços Programados,Tren Dianteiro,Troca de Espirais,Troca Espirais,0,https://lista.mercadolivre.com.br/acessorios-veiculos/servicos-programados/tren-dianteiro/troca-espirais/
Informática / Periféricos para PC / Mouses e Teclados / Mouses / Mouses,Informática > Periféricos para PC > Mouses e Teclados > Mouses,Informática,Periféricos para PC,Mouses e Teclados,Mouses,Mouses,3,https://lista.mercadolivre.com.br/informatica/perifericos-pc/mouses-teclados/mouses/chaveiros_NoIndex_True#applied_filter_id%3Dcategory%26applied_filter_name%3DCategorias%26applied_filter_order%3D4%26applied_value_id%3DMLB1714%26applied_value_name%3DMouses%26applied_value_order%3D3%26applied_value_results%3D3%26is_custom%3Dfalse
Informática / Periféricos para PC / Mouses e Teclados / Teclados > Interruptores / Interruptores,Informática > Periféricos para PC > Mouses e Teclados > Teclados > Interruptores,Informática,Periféricos para PC,Mouses e Teclados,Teclados > Interruptores,Interruptores,7,https://lista.mercadolivre.com.br/informatica/perifericos-pc/mouses-teclados/teclados/interruptores/chaveiros_NoIndex_True#applied_filter_id%3Dcategory%26applied_filter_name%3DCategorias%26applied_filter_order%3D4%26applied_value_id%3DMLB457551%26applied_value_name%3DInterruptores%26applied_value_order%3D1%26applied_value_results%3D7%26is_custom%3Dfalse
Informática / Periféricos para PC / Mouses e Teclados / Teclados > Teclados Laser / Teclados Laser,Informática > Periféricos para PC > Mouses e Teclados > Teclados > Teclados Laser,Informática,Periféricos para PC,Mouses e Teclados,Teclados > Teclados Laser,Teclados Laser,4,https://lista.mercadolivre.com.br/informatica/perifericos-pc/mouses-teclados/teclados/teclados-laser/chaveiros_NoIndex_True#applied_filter_id%3Dcategory%26applied_filter_name%3DCategorias%26applied_filter_order%3D4%26applied_value_id%3DMLB268556%26applied_value_name%3DTeclados+Laser%26applied_value_order%3D3%26applied_value_results%3D4%26is_custom%3Dfalse
Informática / Palms e Handhelds / Acessórios / Protetores de tela / Protetores De Tela,Informática > Palms e Handhelds > Acessórios > Protetores de tela,Informática,Palms e Handhelds,Acessórios,Protetores de tela,Protetores De Tela,2,https://lista.mercadolivre.com.br/informatica/palms-e-handhelds/acessorios/protetores-de-tela/chaveiros_NoIndex_True#applied_filter_id%3Dcategory%26applied_filter_name%3DCategorias%26applied_filter_order%3D4%26applied_value_id%3DMLB11141%26applied_value_name%3DProtetores+de+tela%26applied_value_order%3D3%26applied_value_results%3D2%26is_custom%3Dfalse
Informática / Cabos e Hubs USB / Cabos / Bolsas Organizadoras de Cabos / Bolsas Organizadoras De Cabos,Informática > Cabos e Hubs USB > Cabos > Bolsas Organizadoras de Cabos,Informática,Cabos e Hubs USB,Cabos,Bolsas Organizadoras de Cabos,Bolsas Organizadoras De Cabos,7,https://lista.mercadolivre.com.br/informatica/cabos-e-hubs-usb/cabos/bolsas-organizadoras-de-cabos/chaveiros_NoIndex_True#applied_filter_id%3Dcategory%26applied_filter_name%3DCategorias%26applied_filter_order%3D4%26applied_value_id%3DMLB271710%26applied_value_name%3DBolsas+Organizadoras+de+Cabos%26applied_value_order%3D1%26applied_value_results%3D7%26is_custom%3Dfalse
Informática / Cabos e Hubs USB / Cabos / Cabos de Dados / Cabos De Dados,Informática > Cabos e Hubs USB > Cabos > Cabos de Dados,Informática,Cabos e Hubs USB,Cabos,Cabos de Dados,Cabos De Dados,10,https://lista.mercadolivre.com.br/informatica/cabos-e-hubs-usb/cabos/cabos-de-dados/chaveiros_NoIndex_True#applied_filter_id%3Dcategory%26applied_filter_name%3DCategorias%26applied_filter_order%3D4%26applied_value_id%3DMLB54168%26applied_value_name%3DCabos+de+Dados%26applied_value_order%3D2%26applied_value_results%3D10%26is_custom%3Dfalse
Informática / Impressão / Impressoras / Impressoras,Informática > Impressão > Impressoras,Informática,Impressão,Impressoras,,Impressoras,1,https://lista.mercadolivre.com.br/informatica/impressao/impressoras/chaveiros_NoIndex_True#applied_filter_id%3Dcategory%26applied_filter_name%3DCategorias%26applied_filter_order%3D3%26applied_value_id%3DMLB1676%26applied_value_name%3DImpressoras%26applied_value_order%3D2%26applied_value_results%3D1%26is_custom%3Dfalse
