categoria_completa,categoria,nivel_1,nivel_2,nivel_3,categoria_real,quantidade,link
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Protetores e Guardas / Guardas Adicionais / Protetores Bra,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Protetores e Guardas > Guardas Adicionais,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Protetores Bra,4,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/protetores-guardas/guardas-adicionais/protetores-bra/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Protetores e Guardas / Protetores de Grade e Luz / Bull Bars,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Protetores e Guardas > Protetores de Grade e Luz,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Bull Bars,8,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/protetores-guardas/protetores-grade-luz/bull-bars/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Protetores e Guardas / Protetores de Grade e Luz / Outros,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Protetores e Guardas > Protetores de Grade e Luz,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Outros,1,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/protetores-guardas/protetores-grade-luz/outros/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Racks e Bagageiros / Barras Retencao Carga,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Racks e Bagageiros,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Barras Retencao Carga,1,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/racks-bagageiros/barras-retencao-carga/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Racks e Bagageiros / Cestos Bagageiro,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Racks e Bagageiros,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Cestos Bagageiro,2,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/racks-bagageiros/cestos-bagageiro/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Racks e Bagageiros / Suportes Esqui,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Racks e Bagageiros,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Suportes Esqui,1,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/racks-bagageiros/suportes-esqui/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Racks e Bagageiros / Suportes para Snowboard / Suportes Snowboard,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Racks e Bagageiros > Suportes para Snowboard,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Suportes Snowboard,0,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/racks-bagageiros/suportes-snowboard/
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Reboques / Bolas Engate,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Reboques,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Bolas Engate,10,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/reboques/bolas-engate/_NoIndex_True?original_category_landing=true
"Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Reboques / Cabos, Chicotes e Conectores / Cabos Freio Emergencia","Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Reboques > Cabos, Chicotes e Conectores",Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Cabos Freio Emergencia,5,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/reboques/cabos-chicotes-conectores/cabos-freio-emergencia/_NoIndex_True?original_category_landing=true
"Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Reboques / Cabos, Chicotes e Conectores / Cabos Seguranca","Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Reboques > Cabos, Chicotes e Conectores",Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Cabos Seguranca,7,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/reboques/cabos-chicotes-conectores/cabos-seguranca/_NoIndex_True?original_category_landing=true
